GSM1068478;GSM1068479;GSM1068481;GSM1068482;GSM1068483;GSM1068486;GSM1068487;GSM1068488;GSM1068490;GSM1068491;GSM1068492;GSM1068493;GSM1068494;GSM1068495;GSM1068496;GSM1068498;GSM1068499;GSM1068500;GSM1068502;GSM1068503;GSM1068505;GSM1068506;GSM1068507;GSM1068508;GSM1068510;GSM1068512;GSM1068513;GSM1068514;GSM1068517;GSM1068518;GSM1068520;GSM1068521;GSM1068522;GSM1068524;GSM1068527;GSM1068480;GSM1068484;GSM1068485;GSM1068489;GSM1068497;GSM1068501;GSM1068504;GSM1068509;GSM1068511;GSM1068515;GSM1068516;GSM1068519;GSM1068523;GSM1068525;GSM1068526;GSM1068458;GSM1068459;GSM1068460;GSM1068461;GSM1068464;GSM1068468;GSM1068472;GSM1068473;GSM1068474;GSM1068476;GSM1068477;GSM1068462;GSM1068463;GSM1068465;GSM1068466;GSM1068467;GSM1068469;GSM1068470;GSM1068471;GSM1068475;GSM1068528;GSM1068531;GSM1068532;GSM1068533;GSM1068535;GSM1068537;GSM1068538;GSM1068539;GSM1068540;GSM1068542;GSM1068543;GSM1068544;GSM1068545;GSM1068546;GSM1068547;GSM1068548;GSM1068549;GSM1068550;GSM1068551;GSM1068552;GSM1068555;GSM1068556;GSM1068557;GSM1068560;GSM1068561;GSM1068562;GSM1068563;GSM1068565;GSM1068529;GSM1068530;GSM1068534;GSM1068536;GSM1068541;GSM1068553;GSM1068554;GSM1068558;GSM1068559;GSM1068564
755.878;722.425;71.456;633.127;699.832;638.866;686.915;648.351;667.941;712.719;657.078;677.639;653.231;645.249;699.413;738.962;7.028;744.501;700.235;676.987;666.308;660.733;672.314;695.557;654.586;669.493;656.512;674.775;7.297;634.646;718.924;735.999;664.856;626.888;674.406;690.273;654.643;658.599;663.896;714.814;710.402;648.229;671.725;690.825;620.873;679.762;731.143;716.592;615.845;646.241;702.247;696.389;67.264;732.638;6.429;702.461;700.285;713.506;710.224;6.556;622.989;690.266;70.142;65.844;695.231;710.035;72.741;659.884;675.372;654.633;65.297;790.779;726.548;703.042;685.512;761.863;76.486;679.432;724.223;696.166;632.553;719.502;687.383;752.672;729.316;675.393;725.501;600.433;677.096;677.958;706.449;677.227;681.475;670.414;696.548;624.373;674.136;673.249;691.774;759.412;658.859;706.004;674.263;684.267;667.296;650.767;686.263;59.521
770.286;731.996;736.966;761.138;734.618;727.779;718.432;741.476;740.177;747.352;774.577;7.38;772.763;730.656;70.152;730.687;722.414;78.006;713.506;740.148;760.392;765.067;794.849;733.524;73.699;738.677;758.987;750.245;734.339;762.933;754.585;728.906;727.139;741.462;780.775;779.012;769.439;772.736;74.736;755.518;70.217;746.829;763.978;700.141;715.875;742.085;756.188;743.439;757.148;763.667;755.816;781.363;754.545;743.472;744.276;753.495;695.146;745.134;738.281;753.489;7.377;742.373;818.396;74.216;755.172;743.074;739.076;719.552;73.398;715.701;720.248;735.611;742.067;783.882;747.352;729.939;737.478;743.979;761.621;738.004;763.987;749.734;743.003;780.011;751.408;741.552;791.321;765.161;721.886;724.389;740.003;725.104;761.553;736.206;768.525;761.749;764.091;7.725;783.392;71.981;761.427;737.011;738.366;695.814;736.387;769.521;75.622;7.333
493.625;532.532;422.793;189.094;180.182;37.575;382.654;447.159;452.758;455.382;460.889;454.008;569.601;523.563;388.051;485.333;40.489;448.167;390.679;356.979;559.817;503.883;506.099;487.341;493.616;420.231;534.861;402.279;458.407;405.337;453.568;37.328;423.747;492.516;461.205;445.406;434.462;188.764;492.224;474.686;379.921;516.407;389.239;311.436;381.521;43.594;323.527;454.879;488.629;482.424;455.347;413.188;444.092;46.129;481.184;413.489;407.337;379.715;464.592;49.522;454.022;465.079;493.362;433.358;492.612;442.407;383.906;514.845;485.678;446.989;265.052;49.899;34.181;520.043;555.883;307.219;333.185;400.271;467.018;462.143;474.309;447.993;399.079;50.747;400.666;377.019;385.151;505.366;443.128;401.708;424.595;431.429;448.216;497.882;499.997;505.708;416.145;510.117;525.922;19.306;489.812;475.859;434.723;410.089;381.951;477.677;481.855;432.235
432.758;413.045;44.608;627.922;515.999;438.716;467.761;507.807;444.773;398.495;399.507;477.954;454.432;375.654;595.438;35.347;425.704;458.642;423.259;4.633;448.372;484.615;50.597;443.101;465.893;42.961;424.727;474.751;422.033;449.841;443.236;489.897;504.803;405.315;506.994;544.743;471.306;431.893;441.843;449.322;442.245;423.567;478.412;517.505;662.822;421.846;442.265;401.191;41.149;449.351;477.644;404.154;41.587;488.846;42.602;420.164;525.922;454.131;442.891;417.981;414.344;459.785;463.831;43.812;313.416;385.396;500.648;446.302;449.259;476.493;393.095;468.559;482.409;434.629;466.877;454.241;421.116;389.682;43.641;417.253;437.045;435.426;468.568;508.142;462.176;447.075;427.735;432.401;413.912;491.044;480.361;54.394;417.127;399.334;43.025;480.822;483.754;473.783;419.205;431.475;558.902;426.265;448.698;4.937;479.749;645.378;446.049;443.329
112.083;118.272;115.905;106.323;114.622;112.491;110.026;108.501;111.148;115.803;115.862;111.628;112.272;115.599;116.178;112.135;107.484;112.416;115.295;113.409;117.468;115.152;111.891;110.556;113.549;107.995;114.861;113.946;107.049;111.172;112.447;108.486;114.792;110.227;117.507;113.451;114.678;113.148;11.735;110.288;113.603;110.611;119.418;10.638;112.641;114.619;111.766;11.211;106.196;111.839;113.527;110.912;116.467;109.583;110.213;110.824;109.393;114.044;115.221;116.218;116.391;113.329;11.803;112.236;11.54;109.217;114.224;112.022;113.195;117.178;114.912;103.605;102.093;114.853;112.359;114.273;119.348;109.745;109.168;110.165;112.341;112.692;109.743;114.762;110.658;110.578;105.277;114.295;113.711;109.127;109.102;109.149;116.763;109.397;112.067;111.148;111.389;109.038;109.481;109.635;112.504;112.433;112.677;11.158;115.271;107.022;109.476;111.832
10.091;102.253;102.708;108.075;101.859;102.951;10.182;104.746;102.656;999.311;101.966;102.268;108.565;106.499;10.118;105.391;10.434;100.719;997.543;104.543;107.122;103.815;103.865;102.955;106.987;104.285;104.613;10.423;105.357;107.791;102.752;103.109;103.407;106.046;103.646;107.711;105.548;103.664;105.081;105.378;103.362;104.974;103.127;102.015;102.867;105.908;103.659;102.264;109.123;105.003;103.325;101.592;105.324;102.804;101.231;10.273;102.882;103.651;103.146;101.455;103.375;103.712;102.158;101.569;102.496;102.034;101.981;102.457;102.827;106.548;102.846;106.601;10.123;102.275;104.508;102.734;10.504;104.408;102.276;104.388;107.879;103.906;102.201;106.146;104.299;101.192;983.695;10.597;103.224;102.266;103.106;106.024;10.31;109.082;101.849;106.117;102.706;104.786;101.945;10.343;103.859;107.636;102.932;105.572;102.293;106.128;10.16;10.302
109.456;105.856;106.463;106.989;113.665;10.788;105.736;104.185;10.607;10.795;106.588;106.559;11.265;105.707;111.189;109.336;110.764;107.678;109.539;106.961;106.639;108.744;109.276;108.593;106.783;109.552;104.581;106.169;110.099;105.861;112.205;115.511;108.263;106.612;107.419;110.149;108.776;110.705;107.384;110.141;109.339;107.839;112.235;109.849;108.723;109.984;11.838;108.016;105.299;106.976;113.724;109.591;10.882;109.415;108.635;110.067;107.975;10.708;109.582;107.622;106.421;108.483;109.011;111.259;110.924;108.851;111.892;106.219;108.393;109.851;108.524;115.183;115.403;113.614;11.268;113.592;113.369;108.698;112.469;108.886;106.737;111.356;107.318;108.726;110.711;110.534;872.675;107.254;106.588;107.458;105.025;109.719;109.754;110.952;106.356;106.944;108.704;10.882;108.595;116.711;109.156;108.151;108.631;110.207;109.364;10.577;104.683;109.103
320.583;215.301;195.703;273.443;204.963;195.313;120.181;210.316;244.099;277.458;304.531;187.914;392.987;374.889;255.803;197.274;133.979;3.771;153.118;278.887;384.116;312.152;306.943;290.676;232.305;332.706;162.907;171.925;345.678;293.898;359.636;292.161;246.599;238.342;216.514;26.398;327.152;174.782;239.523;216.348;326.288;353.205;202.804;449.214;286.453;319.784;247.266;270.868;299.395;296.369;305.737;573.716;240.816;325.558;262.838;202.965;28.917;141.448;184.628;253.516;130.574;259.963;189.743;276.049;318.457;212.664;298.152;240.159;143.399;289.383;214.258;657.257;156.449;295.732;263.636;337.168;267.363;273.721;288.211;260.318;245.284;304.927;244.318;192.702;364.127;287.028;433.235;172.842;344.198;247.994;289.323;32.185;267.881;138.635;167.694;195.987;232.271;299.118;349.136;369.441;367.986;258.197;437.264;324.425;22.424;36.406;360.491;393.822
105.034;107.661;111.535;114.341;109.276;107.746;109.359;108.944;118.084;112.378;963.699;10.89;921.481;109.167;109.466;114.605;799.577;104.604;991.561;112.383;11.479;109.153;112.842;109.382;103.814;10.029;110.876;10.839;112.052;112.933;110.275;106.203;114.137;95.312;103.238;111.315;110.636;98.303;995.199;10.627;930.217;110.461;114.654;112.184;108.679;113.172;612.514;860.761;100.673;106.267;122.083;888.118;110.456;902.253;107.785;105.198;110.952;110.973;107.261;102.182;111.164;11.329;112.863;114.519;104.296;995.139;109.888;112.417;110.865;115.515;72.806;913.386;984.004;110.755;681.305;975.466;100.728;114.433;902.779;10.724;832.221;110.015;115.233;641.269;999.252;110.313;953.402;118.933;113.203;113.823;111.677;991.026;96.394;997.572;103.453;105.049;992.799;110.387;110.098;112.236;111.237;939.399;112.115;758.706;879.139;112.667;107.774;115.108
123.624;118.803;118.211;11.196;119.882;115.031;131.262;122.958;124.471;104.937;126.206;119.436;116.711;116.733;11.734;115.745;110.065;122.762;122.313;127.603;125.596;121.877;116.359;111.066;120.229;11.853;124.352;116.827;11.747;115.071;120.673;120.244;131.005;129.715;120.187;105.704;128.037;11.744;129.427;121.562;124.224;120.662;121.244;129.519;101.345;123.192;120.107;121.679;134.179;123.447;103.397;127.683;11.464;111.532;117.539;119.349;121.835;129.691;118.357;110.294;109.424;107.889;111.801;114.581;122.059;119.188;124.826;120.438;118.536;113.528;109.469;117.011;112.822;117.903;12.335;122.456;112.929;131.336;122.601;122.457;123.953;106.593;11.918;126.037;126.604;121.595;113.292;127.574;12.647;124.902;122.656;117.056;121.217;108.521;124.184;123.422;120.697;123.964;117.092;117.292;115.439;122.632;119.661;122.641;124.108;127.376;107.368;126.286
